Age Group,Gender,City,Occupation,Income Range,Shopping Frequency,Spend Per Transaction,Preferred Categories,Payment Methods,Purchase Factor,Willing to Try New Platform,Expected Monthly Spend,Subscribed to Loyalty Program,Loyalty Engagement Factors,Referral Likelihood,Offer Preferences,Preferred Shopping Time,Preferred Shopping Day,Experienced Delivery Issues,Delivery Issue Types,Willing to Pay for Fast Delivery,Cluster
1,1,3,2,0,1,2720,Electronics;Toys;Groceries,Card,3,1,3400,1,Early Access,2,BOGO,0,0,0,Poor Packaging;Wrong Item,0,3
3,0,0,4,2,3,2345,Clothing,Card;Wallet,0,2,2977,1,Recommendations;Early Access;Cashback,2,Surprise Gifts,1,0,0,Poor Packaging,2,0
2,0,3,4,2,1,2024,Toys,Wallet;UPI;Card,1,0,3299,1,Cashback;Recommendations,2,Free Delivery;Surprise Gifts,3,0,1,Poor Packaging;Payment Issues;Delays,1,3
1,0,4,4,0,1,2187,Toys,COD;UPI,2,2,3412,0,Early Access,0,Free Delivery;Surprise Gifts,1,0,1,Payment Issues;None,0,3
0,0,2,4,0,1,1982,Home & Kitchen;Electronics;Beauty & Wellness,UPI,2,2,2980,0,Cashback,2,Free Delivery,1,0,0,Delays,0,3
0,0,4,3,1,3,1869,Electronics,UPI;Wallet;COD,3,0,3438,0,Cashback,0,Flat Discounts,0,0,0,Poor Packaging;None;Delays,2,1
0,0,2,4,0,1,2139,Clothing,UPI,1,2,3491,0,Exclusive Deals,0,BOGO;Flat Discounts;Surprise Gifts,1,0,0,Wrong Item;Poor Packaging,2,3
2,0,5,0,2,1,778,Home & Kitchen,Wallet;UPI,2,2,1647,1,Cashback;Exclusive Deals,1,BOGO;Surprise Gifts,1,1,0,None,2,3
1,1,1,4,0,1,1719,Electronics;Home & Kitchen;Clothing,UPI;Card,0,2,2652,0,Cashback;Exclusive Deals;Early Access,2,Free Delivery;Flat Discounts;BOGO,0,1,1,None;Poor Packaging,1,3
2,1,4,4,0,3,1551,Toys;Home & Kitchen;Beauty & Wellness,COD,3,1,3555,1,Cashback;Exclusive Deals,2,Free Delivery;Surprise Gifts;Flat Discounts,1,0,0,Poor Packaging;Delays;Payment Issues,2,0
4,1,3,4,2,1,1647,Beauty & Wellness,COD;UPI,1,2,4030,0,Exclusive Deals,2,Free Delivery;Surprise Gifts;Flat Discounts,1,0,1,Wrong Item,1,3
